"","WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
"99366_at",8.76254814256653,9.05961485629722,8.44335800383632,9.03397354344106,9.34429590791582,9.10747864662662
"99367_at",7.19967234483636,6.55918586578773,6.4093909361377,5.1168637576909,2.8073549220576,4.28540221886225
"99368_at",5.18189764310839,4.73335434061383,5.14159627838382,5.94953493301701,5.11270013274936,4.87282875953489
"99369_f_at",4.83289001416474,3.37851162325373,5.5668151540109,4.98641093525204,3.13750352374994,5.4594316186373
"99370_at",7.49825086752783,6.71561885907482,6.95535930524299,7.18883607303053,7.09169983413681,6.25927248703759
"99371_at",5.86542397831313,7.69835740595729,7.72451385311995,6.71561885907482,7.93781516880342,6.5894638929561
"99372_at",9.35402893805439,9.56414948998573,10.1116573462631,9.7045953476324,9.68106267695319,9.43796008833447
"99373_at",5.66959375118833,4.85299758761332,3.88752527074159,5.11270013274936,5.27798474729977,6.63517394667492
"99374_at",6.34872815423108,4.877744249949,6.77610398807316,6.6906964439777,6.48220292629596,2.72246602447109
"99375_at",6.50143914515887,5.70873904135958,6.84549005094437,6.93073733756289,7.05853297020161,7.43212427264156
"99376_at",4.84799690655495,5.36806987653208,3.27798474729977,3.85798099512757,4.17791779219584,3.10433665981474
"99377_at",3.67807190511264,4.85299758761332,1.84799690655495,3.62058641045188,2.32192809488736,3.48542682717024
"99378_f_at",8.94982671075911,9.06824086131282,9.17342729734862,9.09090634523191,8.92273304987684,9.05175273852425
"99379_f_at",9.00954872697226,8.62789861587175,8.85237344958027,8.31379002544369,8.73572524507657,8.76487159073609
"99380_at",5.69209237542757,4.93073733756289,5.73335434061383,7.467605550083,5.01346225980656,6.94016675048282
"99381_at",5.52042224852645,5.16992500144231,7.26021388677142,5.09169983413681,4.74953426766926,5.21723071622067
"99382_at",5.39231742277876,8.02347715183043,8.25644459647344,7.04984854945056,7.66746640495737,6.16188768237689
"99383_at",6.30924896081662,5.14567745519564,3.95419631038688,3.72246602447109,6.13545278418517,6.60733031374961
"99384_at",8.88722061546838,8.71080643369935,9.31197531446116,9.22134544356244,9.02097993890421,9.11945993445933
"99385_at",7.49984588708321,5.70043971814109,5.24412594328373,6.3819754785573,4.90207357931074,5.27426166125705
